Name,RA,DEC,Vmag,Sp.Type,dist (pc),ObsDate
"HIP21683","4 39 16.5 ","15 55 4 ","4.67","A5Vn","48.7",""
"HIP21710","4 39 42.6 ","9 52 13 ","9.19","K3V","28.4",""
"HIP21765","4 40 29.1 ","-9 11 47 ","10.2","M0V...","20.1",""
"HIP21818","4 41 18.5 ","20 54 1 ","8.09","K3V","13.4",""
"HIP21932","4 42 56.5 ","18 57 11 ","9.95","M2","9.41",""
"HIP21988","4 43 35.5 ","27 41 10 ","8.00","K5III","22.3",""
"HIP22044","4 44 25.9 ","11 8 45 ","5.39","F0V","48.2",""
"HIP22263","4 47 36.4 ","-16 56 1 ","5.49","G3V","13.3",""
"HIP22287","4 48 0.38 ","56 45 23 ","5.29","A3m","49.7","04/23/2016"
"HIP22288","4 48 1.22 ","-10 56 2 ","9.53","K7V","26.1","06/04/2016"
"HIP22361","4 48 50.5 ","75 56 26 ","5.96","A9IV","45.6","04/23/2016"
"HIP22439","4 49 42.1 ","-13 46 13 ","6.27","F3/F5V","35.3",""
"HIP22449","4 49 50.9 ","6 57 40 ","3.19","F6V","8.02","03/19/2016"
"HIP22498","4 50 25.6 ","63 19 55 ","9.99","K7","23.4","04/23/2016"
"HIP22596","4 51 44.1 ","45 49 53 ","6.94","G1V-VI","29.9",""
"HIP22627","4 52 5.88 ","6 28 30 ","11.9","M4","12.1",""
"HIP22638","4 52 13.2 ","44 58 28 ","9.26","K5","29.5",""
"HIP22715","4 53 4.90 ","22 14 4 ","8.78","K5V","26.9",""
"HIP22762","4 53 50.4 ","-17 46 34 ","10.9","M3","12.3",""
"HIP22776","4 53 56.2 ","36 45 26 ","7.77","G5","28.4",""
"HIP22845","4 54 53.7 ","10 9 0 ","4.64","A0V","36.9","04/30/2016"
"HIP22949","4 56 15.5 ","24 35 31 ","6.33","F0","43.1",""
"HIP23140","4 58 46.8 ","50 56 32 ","10.9","M0V:","19.4",""
"HIP23147","4 58 50.7 ","49 50 55 ","9.80","M2","16.5","05/24/2016"
"HIP23179","4 59 15.4 ","37 53 23 ","4.93","A1V","48.7",""
"HIP23198","4 59 32.1 ","48 46 39 ","10.8","M0","32.0",""
"HIP23200","4 59 34.8 ","1 46 59 ","10.0","M0.5Ve","26.6",""
"HIP23296","5 0 39.7 ","-2 3 57 ","6.31","A8IV","49.5","02/10/2016"
"HIP23311","5 0 49.5 ","-5 45 31 ","6.22","K3V","8.81","04/30/2016"
"HIP23380","5 1 36.0 ","61 4 37 ","6.03","F4V","36.9",""
"HIP23431","5 2 9.92 ","14 4 47 ","8.19","G5","28.6",""
"HIP23484","5 2 50.6 ","66 49 17 ","6.20","F6V:","27.9",""
"HIP23497","5 3 5.82 ","21 35 23 ","4.62","A7V","49.9",""
"HIP23512","5 3 19.8 ","-17 22 31 ","11.7","K:","9.27","04/30/2016"
"HIP23783","5 6 40.5 ","51 35 48 ","4.98","F0V","26.2","05/24/2016"
"HIP23786","5 6 42.5 ","14 26 42 ","7.74","K0V","23.9","04/28/2016"
"HIP23875","5 7 50.8 ","-5 5 12 ","2.78","A3IIIvar","27.2","03/31/2016"
"HIP23932","5 8 35.6 ","-18 10 41 ","10.2","M5","9.31","04/30/2016"
"HIP23941","5 8 43.7 ","-4 27 22 ","5.11","F2V","25.0","03/31/2016"
"HIP24162","5 11 19.2 ","-2 29 26 ","5.89","F5V","38.4",""
"HIP24205","5 11 46.6 ","4 24 10 ","7.00","G0","28.6",""
"HIP24210","5 11 54.1 ","-9 6 56 ","8.04","K1V","29.6",""
"HIP24243","5 12 17.3 ","41 26 37 ","8.89","K2","28.3",""
"HIP24284","5 12 42.5 ","19 40 0 ","10.8","M5","12.7","04/28/2016"
"HIP24301","5 12 53.8 ","19 43 8 ","9.93","K5:","31.8",""
"HIP24332","5 13 17.2 ","37 20 12 ","6.48","F8","25.9","04/05/2016"
"HIP24340","5 13 25.6 ","38 29 2 ","4.82","A4m","49.8","04/05/2016"
"HIP24454","5 14 48.3 ","0 39 35 ","9.97","K2III","26.2","04/30/2016"
"HIP24472","5 15 8.32 ","-7 20 55 ","11.5","M:","23.8",""
"HIP24786","5 18 50.9 ","-18 7 47 ","5.96","G0V","24.9","05/05/2016"
"HIP24813","5 19 9.20 ","40 5 45 ","4.69","G0V","12.6",""
"HIP24819","5 19 13.4 ","-3 4 23 ","7.77","K3V","16.8",""
"HIP24874","5 19 59.7 ","-15 50 19 ","8.72","K3V","24.3","04/05/2016"
"HIP25094","5 22 20.2 ","59 16 35 ","7.09","G5","29.4",""
"HIP25110","5 22 33.0 ","79 13 54 ","5.08","F6V","20.9","05/24/2016"
"HIP25119","5 22 37.5 ","2 36 9 ","7.76","K3V","19.9","03/30/2016"
"HIP25189","5 23 20.1 ","54 47 52 ","9.44","K8V:","34.0",""
"HIP25220","5 23 38.6 ","17 19 26 ","7.93","K2","14.3","03/30/2016"
"HIP25278","5 24 25.7 ","17 23 0 ","5.00","F8V SB","14.6","04/27/2016"
"HIP25486","5 27 4.77 ","-11 54 4 ","6.30","F7V:","26.8","03/30/2016"
"HIP25578","5 27 59.9 ","9 38 25 ","12.4","M5","8.69","03/30/2016"
"HIP25623","5 28 25.7 ","-3 30 11 ","7.65","K5V","12.9","03/30/2016"
"HIP25662","5 28 51.7 ","12 32 59 ","6.71","G0V","28.9","04/27/2016"
"HIP25716","5 29 26.9 ","15 34 36 ","10.5","M2V:","17.3",""
"HIP25878","5 31 28.2 ","-3 41 11 ","7.97","M1V","5.69","03/30/2016"
"HIP26081","5 33 44.5 ","1 56 40 ","11.5","M2.5Ve","16.8",""
"HIP26335","5 36 30.9 ","11 19 39 ","8.78","K7","11.3","04/27/2016"
"HIP26366","5 36 54.4 ","9 17 21 ","4.09","G8III-IV","35.5","03/08/2016"
"HIP26505","5 38 10.9 ","51 26 46 ","7.74","K2V","20.5","05/24/2016"
"HIP26563","5 38 53.0 ","-7 12 47 ","4.77","A4V","47.0","06/04/2016"
"HIP26624","5 39 31.1 ","-3 33 52 ","5.99","A8Vs","41.3","04/05/2016"
"HIP26653","5 39 52.3 ","52 53 48 ","7.85","G5","27.8",""
"HIP26779","5 41 20.3 ","53 28 43 ","6.21","K1V","12.2","05/24/2016"
"HIP26801","5 41 30.7 ","53 29 14 ","9.78","M1","12.4","05/18/2016"
"HIP26834","5 41 53.9 ","-15 37 51 ","7.36","G8/K0IV","27.7",""
"HIP26857","5 42 11.4 ","12 28 56 ","11.5","M5","5.78","05/05/2016"
"HIP27188","5 45 48.9 ","62 13 59 ","9.02","M0","13.6","05/18/2016"
"HIP27207","5 46 2.54 ","37 16 56 ","7.34","K0V","20.5","04/27/2016"
"HIP27288","5 46 57.3 ","-14 49 19 ","3.55","A2Vann","21.5",""
"HIP27397","5 48 16.8 ","-11 7 58 ","10.9","","27.4",""
"HIP27435","5 48 35.0 ","-4 5 44 ","5.97","G4V","15.5","06/04/2016"
"HIP27803","5 53 0.28 ","-5 59 47 ","9.70","M0V","20.1",""
"HIP27913","5 54 22.7 ","20 16 32 ","4.39","G0V","8.66","05/05/2016"
"HIP27918","5 54 28.6 ","2 8 21 ","8.84","K3V","26.6","03/23/2016"
"HIP27922","5 54 30.2 ","-19 42 16 ","7.51","G6V","22.7","03/27/2016"
"HIP28103","5 56 24.2 ","-14 10 1 ","3.71","F1V","15.0",""
"HIP28267","5 58 21.6 ","-4 39 5 ","6.99","G0","23.2","03/23/2016"
"HIP28358","5 59 31.7 ","54 17 2 ","3.72","K0III","43.0",""
"HIP28368","5 59 37.7 ","58 35 30 ","10.2","M1","13.5",""
"HIP28494","6 0 53.9 ","21 1 9 ","10.0","K8","31.6",""
"HIP28614","6 2 23.0 ","9 38 49 ","4.12","Am...","46.5",""
"HIP28634","6 2 45.1 ","47 48 35 ","6.49","F5","28.4",""
"HIP28908","6 6 8.36 ","35 23 11 ","6.12","G0V","26.3",""
"HIP28954","6 6 40.3 ","15 32 29 ","6.76","K0","15.4","03/20/2016"
"HIP29067","6 7 55.1 ","67 58 34 ","9.75","K8","24.9","05/11/2016"
"HIP29277","6 10 20.2 ","82 6 2 ","10.4","M3","9.39","05/11/2016"
"HIP29432","6 12 0.77 ","6 46 54 ","6.85","G4V","23.1","03/20/2016"
"HIP29525","6 13 12.5 ","10 37 32 ","6.43","G8V","18.1","03/20/2016"
"HIP29548","6 13 35.6 ","63 23 35 ","9.67","M0","24.7","05/11/2016"
"HIP29650","6 14 50.7 ","19 9 20 ","5.20","F6V","21.1","03/20/2016"
"HIP29761","6 16 2.63 ","70 46 46 ","7.43","G5","25.7","05/11/2016"
"HIP29800","6 16 26.7 ","12 16 22 ","5.04","F5IV-V","19.6",""
"HIP29860","6 17 15.9 ","5 6 3 ","5.70","G0.5Vb","19.3",""
"HIP29958","6 18 22.1 ","-13 52 2 ","9.89","M0IV","30.9",""
"HIP30060","6 19 37.3 ","59 0 39 ","4.44","A2Vs","45.7","05/11/2016"
"HIP30067","6 19 40.1 ","16 0 47 ","6.61","F8V","27.5",""
"HIP30112","6 20 13.0 ","2 15 30 ","9.83","K7V","27.9","05/05/2016"
"HIP30419","6 23 46.0 ","4 35 34 ","4.39","A5IV","39.3",""
"HIP30630","6 26 10.1 ","18 45 22 ","6.78","K0","14.6",""
"HIP30756","6 27 46.0 ","20 46 58 ","8.59","G0","18.0",""
"HIP30862","6 28 45.6 ","36 28 44 ","7.15","G0","25.6",""
"HIP30893","6 29 5.22 ","27 0 25 ","8.59","K2V","29.4",""
"GJ234","6 29 24.1 ","-2 49 0 ","11.1","M4.5V","4.09",""
"HIP30979","6 30 7.12 ","-11 48 30 ","9.11","K4V","28.5",""
"HIP31083","6 31 21.3 ","2 54 40 ","7.14","G0","27.9",""
"HIP31142","6 32 1.92 ","34 31 23 ","9.86","M0","29.4",""
"HIP31167","6 32 23.1 ","-5 52 8 ","5.60","F0Vnn+...","43.2",""
"HIP31552","6 36 15.3 ","58 6 21 ","6.61","F5","36.3",""
"HIP31592","6 36 41.1 ","-19 15 22 ","3.95","K1III+...","19.8",""
"HIP31635","6 37 9.91 ","17 33 58 ","9.63","M1:","9.84",""
"HIP31660","6 37 33.8 ","12 10 45 ","6.84","G5","27.3",""
"HIP31703","6 37 54.2 ","73 41 44 ","6.26","F2","35.5",""
"HIP32010","6 41 15.9 ","23 57 23 ","8.08","K2","17.5",""
"HIP32076","6 42 5.01 ","-15 12 57 ","6.97","F7V","29.6",""
"GJ244","6 45 8.28 ","-16 43 17 ","-1.4","A1V","2.63",""
"HIP32423","6 46 4.47 ","32 33 22 ","8.80","K3V","24.9",""
"HIP32439","6 46 13.5 ","79 33 43 ","5.44","F8V","17.8",""
"HIP32480","6 46 44.3 ","43 34 41 ","5.24","G0V","16.5",""
"HIP32617","6 48 19.0 ","-1 19 8 ","5.75","F1V","40.0",""
"HIP32723","6 49 36.0 ","35 8 20 ","10.1","K5","27.6",""
"HIP32769","6 49 57.5 ","60 20 14 ","8.59","M0p","16.4","01/16/2016"
"HIP32851","6 50 49.8 ","-0 32 30 ","5.78","F2V","29.8","03/16/2016"
"HIP32919","6 51 31.9 ","47 21 52 ","8.95","K2","18.8","01/16/2016"
"HIP32984","6 52 17.4 ","-5 10 25 ","6.58","K3V","8.70","03/16/2016"
"HIP33142","6 54 5.32 ","60 52 2 ","11.0","M:","10.6",""
"HIP33202","6 54 38.7 ","13 10 38 ","4.73","F0Vp","27.9","03/16/2016"
"HIP33226","6 54 48.0 ","33 15 58 ","9.89","K:...","5.51",""
"HIP33277","6 55 18.6 ","25 22 32 ","5.74","G0V","17.2","03/14/2016"
"HIP33322","6 55 52.2 ","55 38 20 ","10.2","K4","25.7",""
"HIP33373","6 56 28.2 ","40 4 20 ","9.08","K5V","24.0",""
"HIP33428","6 57 4.78 ","30 45 19 ","9.68","M0","18.6","03/14/2016"
"HIP33537","6 58 11.8 ","22 28 34 ","6.94","G5V","24.2","05/25/2016"
"HIP33560","6 58 26.1 ","-12 59 32 ","9.14","K4V","22.3","03/14/2016"
"HIP33719","7 0 17.9 ","-5 22 0 ","6.29","G0III-IV","28.0",""
"HIP33848","7 1 35.5 ","6 55 37 ","8.16","K2V","28.2",""
"HIP33852","7 1 39.4 ","48 22 36 ","7.98","K3V","20.4",""
"HIP33955","7 2 42.7 ","-6 48 2 ","8.38","K5V","18.7","02/04/2016"
"HIP34017","7 3 30.6 ","29 20 0 ","5.93","G4V","19.0","02/04/2016"
"HIP34104","7 4 17.5 ","-10 30 44 ","10.9","M5","15.3","02/04/2016"
"HIP34115","7 4 26.9 ","68 17 20 ","11.9","M5","15.2",""
"HIP34222","7 5 42.1 ","27 28 13 ","10.1","M0V","24.0",""
"HIP34317","7 6 51.9 ","23 58 4 ","10.1","","32.5",""
"HIP34341","7 7 9.31 ","3 26 46 ","9.84","M0V","26.7","02/04/2016"
"HIP34392","7 7 49.6 ","67 12 4 ","11.1","M2","17.6",""
"HIP34414","7 8 4.03 ","29 49 59 ","8.32","G5","22.2","03/15/2016"
"HIP34423","7 8 9.09 ","-9 58 6 ","8.85","K0","28.7",""
"HIP34567","7 9 35.2 ","25 43 40 ","7.09","G8V","24.5","03/15/2016"
"HIP34673","7 10 49.0 ","-14 25 54 ","9.96","","25.3",""
"HIP34950","7 13 52.6 ","25 0 39 ","8.40","K1V","25.1","05/25/2016"
"HIP35136","7 15 50.1 ","47 14 20 ","5.54","G0V","16.8",""
"HIP35191","7 16 19.7 ","27 8 29 ","10.8","","12.3","03/15/2016"
"HIP35265","7 17 9.45 ","33 5 28 ","6.93","G0","27.3",""
"HIP35350","7 18 5.53 ","16 32 24 ","3.58","A3V...","28.9","05/06/2016"
"HIP35487","7 19 28.3 ","-16 23 45 ","5.70","F2III/IV","44.0",""
"HIP35495","7 19 31.8 ","32 49 42 ","10.0","M2:","19.7",""
"HIP35550","7 20 7.35 ","21 58 56 ","3.50","F0IV...","18.0","05/07/2016"
"HIP35628","7 21 6.53 ","67 39 43 ","8.38","K0","25.5",""
"HIP35643","7 21 17.4 ","45 13 41 ","5.74","A7s","34.4",""
"HIP35821","7 23 14.7 ","46 5 10 ","10.5","M2","16.2",""
"HIP35872","7 23 47.1 ","12 57 46 ","8.19","G5","25.0","05/07/2016"
"HIP35884","7 23 53.7 ","-17 24 48 ","6.84","F7V","34.0",""
"HIP35943","7 24 34.1 ","-17 53 32 ","10.3","M0V:","24.0",""
"HIP35998","7 25 8.09 ","-13 45 7 ","5.79","F3V","34.8",""
"HIP36046","7 25 43.4 ","27 47 51 ","3.78","G9III+...","38.6","05/25/2016"
"HIP36121","7 26 26.6 ","-15 46 14 ","9.21","K4V","25.6","04/17/2016"
"HIP36152","7 26 49.8 ","21 32 7 ","6.54","F6V","30.8","05/25/2016"
"GJ273","7 27 25.1 ","5 12 33 ","9.85","M3.5V","3.75","06/04/2016"
"HIP36215","7 27 28.3 ","22 2 35 ","11.2","M2","19.6",""
"HIP36238","7 27 44.3 ","21 26 40 ","5.20","F5IV-V...","34.0",""
"HIP36249","7 27 50.9 ","19 2 40 ","7.24","G5","29.5",""
"HIP36285","7 28 10.7 ","40 39 23 ","7.39","G5","28.7",""
"HIP36357","7 29 1.97 ","31 59 40 ","7.73","K2V","17.5","05/25/2016"
"HIP36366","7 29 6.92 ","31 47 7 ","4.16","F0V...","18.4","05/25/2016"
"HIP36393","7 29 20.3 ","28 7 4 ","5.07","A4V","50.0","03/14/2016"
"HIP36395","7 29 21.6 ","-14 59 58 ","6.05","F5V","34.1",""
"HIP36399","7 29 25.6 ","-7 33 2 ","5.86","F8V","27.8","03/14/2016"
"HIP36439","7 29 56.1 ","49 40 19 ","5.35","F6V","19.9","04/07/2016"
"HIP36551","7 31 7.79 ","14 36 46 ","8.94","K5","21.2","02/29/2016"
"HIP36627","7 31 56.9 ","36 13 43 ","11.8","M4","11.4","06/04/2016"
"HIP36640","7 32 5.66 ","-8 52 55 ","5.90","F5V","29.9",""
"HIP36704","7 33 0.51 ","37 1 47 ","7.68","G5","19.6","06/04/2016"
"HIP36723","7 33 11.6 ","3 17 26 ","5.59","F2V","42.6",""
"HIP36827","7 34 26.0 ","-6 53 48 ","8.16","K2V","24.8","02/28/2016"
"HIP36850","7 34 35.5 ","31 53 15 ","1.58","A2Vm","15.8",""
"HIP36915","7 35 21.6 ","54 50 59 ","11.3","M0","13.1","04/07/2016"
"HIP36985","7 36 7.12 ","-3 6 42 ","9.87","","14.3","02/28/2016"
"HIP37061","7 36 58.3 ","57 32 55 ","7.97","G9V","27.3",""
"GJ280","7 39 17.3 ","5 13 13 ","0.37","F5IV","3.50","02/29/2016"
"HIP37288","7 39 22.8 ","2 10 57 ","9.66","M0","14.8","02/29/2016"
"HIP37349","7 39 59.4 ","-3 35 55 ","7.18","K2V","14.1","02/28/2016"
"HIP37447","7 41 14.7 ","-9 33 4 ","3.94","K0III","44.2",""
"HIP37494","7 41 45.0 ","49 13 19 ","9.73","K4","26.7","04/06/2016"
"HIP37629","7 43 18.8 ","28 52 56 ","4.23","K1III SB","37.4","05/21/2016"
"HIP37740","7 44 26.8 ","24 23 51 ","3.57","G8III","43.9",""
"HIP37766","7 44 39.8 ","3 33 1 ","11.1","M4.5Ve","5.93","02/29/2016"
"HIP37798","7 45 1.24 ","2 8 11 ","10.1","M0","24.6",""
"HIP37826","7 45 18.1 ","28 1 33 ","1.16","K0IIIvar","10.3","05/21/2016"
"HIP38018","7 47 30.2 ","70 12 21 ","7.06","G0","28.4",""
"HIP38048","7 47 56.6 ","-12 11 32 ","5.48","F5+...","30.2","02/28/2016"
"HIP38082","7 48 18.0 ","20 21 49 ","11.4","M2","14.1","02/29/2016"
"HIP38117","7 48 39.3 ","53 38 46 ","8.86","K4V","26.2","04/07/2016"
"HIP38228","7 49 55.0 ","27 21 47 ","6.90","G5IV","21.8","05/21/2016"
"HIP38325","7 51 5.63 ","54 7 46 ","6.03","F6V","30.0",""
"HIP38382","7 51 46.2 ","-13 53 58 ","5.16","G2V","16.6","02/28/2016"
"HIP38625","7 54 33.9 ","-1 24 45 ","7.43","G8V","19.2","04/11/2016"
"HIP38657","7 54 54.1 ","19 14 3 ","7.76","K2","19.9","05/21/2016"
"HIP38712","7 55 31.4 ","8 51 44 ","5.86","F2IV","38.1","05/21/2016"
"HIP38784","7 56 14.1 ","80 15 57 ","6.55","G8V","17.0",""
"HIP38931","7 57 57.6 ","-0 48 51 ","8.05","K5V","17.4","04/11/2016"
"HIP38956","7 58 12.9 ","41 18 2 ","12.0","M4V","8.16",""
"HIP39064","7 59 34.1 ","20 50 29 ","7.68","K0V","23.1",""
"HIP39157","8 0 31.9 ","29 12 25 ","6.97","G8V","16.8","03/09/2016"
"HIP39494","8 4 22.9 ","43 57 41 ","9.83","M0","25.3",""
"HIP39612","8 5 42.3 ","34 4 35 ","10.1","M0V:p","27.3",""
"HIP39826","8 8 12.8 ","21 6 12 ","9.41","M:","17.1","03/09/2016"
"HIP39896","8 8 56.3 ","32 49 7 ","9.90","M0.5V:e","20.7",""
"HIP39950","8 9 30.5 ","21 54 16 ","11.8","","21.6",""
"HIP40015","8 10 20.9 ","69 43 32 ","6.54","F8","29.2",""
"HIP40023","8 10 27.0 ","25 30 20 ","5.73","G8IV","41.9",""
"HIP40035","8 10 39.5 ","-13 47 56 ","5.53","F7V","22.4","04/18/2016"
"HIP40118","8 11 38.0 ","32 27 15 ","6.78","G4V","21.7",""
"HIP40170","8 12 14.2 ","51 54 22 ","10.2","K5","24.4",""
"HIP40239","8 13 8.28 ","-13 55 9 ","9.38","M0V","21.6","04/18/2016"
"HIP40375","8 14 35.4 ","13 1 23 ","8.79","K5","18.3","03/09/2016"
"HIP40501","8 16 7.57 ","1 18 10 ","10.0","","9.15","02/04/2016"
"HIP40671","8 18 10.4 ","30 35 49 ","8.82","K4V","22.5",""
"HIP40693","8 18 24.2 ","-12 38 11 ","5.95","K0V","12.5","04/19/2016"
"HIP40774","8 19 18.8 ","1 20 19 ","8.35","G5","23.3",""
"HIP40843","8 20 3.83 ","27 12 57 ","5.13","F6V","18.1","03/09/2016"
"HIP40875","8 20 26.1 ","57 44 36 ","5.89","F4V","31.6",""
"HIP40910","8 20 55.2 ","14 4 12 ","9.75","M0","23.4","02/12/2016"
"HIP41130","8 23 31.2 ","21 50 53 ","9.52","M0","27.0","03/15/2016"
"HIP41211","8 24 34.7 ","-3 45 4 ","5.61","F3V","27.2","04/20/2016"
"HIP41307","8 25 39.5 ","-3 54 23 ","3.91","A0V","38.3","02/12/2016"
"HIP41443","8 27 11.1 ","28 55 56 ","9.63","K8","30.5",""
"HIP41484","8 27 36.7 ","45 39 5 ","6.32","G5V","21.7",""
"HIP41662","8 29 40.3 ","-9 58 34 ","10.1","K4","34.1",""
"GJ1111","8 29 48.1 ","26 46 27 ","14.9","M6.0V","3.62",""
"HIP41689","8 29 57.5 ","61 43 21 ","10.2","M0","19.1",""
"HIP41820","8 31 34.9 ","34 57 58 ","7.26","G5","28.7",""
"HIP41975","8 33 21.5 ","36 26 11 ","6.20","F5Vbwvar","37.3",""
"HIP42074","8 34 31.4 ","-0 43 33 ","7.32","G5","21.7","02/11/2016"
"HIP42080","8 34 36.0 ","65 8 41 ","5.47","A2m","48.4",""
"HIP42145","8 35 27.4 ","41 44 14 ","8.74","K2V","27.9",""
"HIP42172","8 35 50.8 ","6 37 10 ","5.91","F8V","26.5","02/11/2016"
"HIP42173","8 35 51.1 ","6 37 19 ","7.25","G5V","23.4",""
"HIP42220","8 36 22.4 ","67 17 43 ","9.28","M2","13.8",""
"HIP42267","8 37 7.83 ","15 7 31 ","11.8","K:","18.9",""
"HIP42333","8 37 49.9 ","-6 48 24 ","6.74","G0","23.6","04/20/2016"
"HIP42418","8 39 0.14 ","6 57 14 ","7.90","K0","25.4","02/11/2016"
"HIP42438","8 39 11.6 ","65 1 16 ","5.63","G1.5Vb","14.2",""
"HIP42499","8 39 50.6 ","11 31 13 ","7.61","K1V","18.5","03/16/2016"
"HIP42567","8 40 36.3 ","43 6 44 ","9.34","K2V","30.9",""
"HIP42748","8 42 44.7 ","9 33 13 ","9.62","M0","13.3",""
"HIP42762","8 42 52.4 ","9 33 1 ","11.8","M5","15.4","02/12/2016"
"HIP42806","8 43 17.0 ","21 28 5 ","4.66","A1IV","48.5",""
"HIP42911","8 44 41.0 ","18 9 11 ","3.94","K0III","41.7",""
"HIP42940","8 45 9.98 ","41 40 8 ","8.52","K3V","25.9",""
"HIP43233","8 48 26.3 ","6 27 59 ","10.3","M0","25.8",""
"HIP43410","8 50 32.1 ","33 17 4 ","6.22","F7Vn","28.6",""
"HIP43534","8 52 0.58 ","66 7 54 ","9.26","K5","16.4",""
"HIP43557","8 52 16.5 ","8 3 42 ","6.57","G0","24.1",""
"HIP43587","8 52 35.2 ","28 19 47 ","5.96","G8V","12.5",""
"HIP43625","8 53 6.03 ","52 23 25 ","6.92","F5","35.6",""
"HIP43667","8 53 47.0 ","35 13 15 ","9.27","M0V:","25.8",""
"HIP43726","8 54 17.5 ","-5 26 3 ","6.01","G3V","17.0","04/20/2016"
"HIP43790","8 55 7.67 ","1 32 30 ","9.99","M1","20.0","04/20/2016"
"HIP43852","8 55 55.6 ","36 11 46 ","7.69","G5","26.1",""
"HIP43970","8 57 15.0 ","15 19 22 ","5.22","A5III","49.0",""
"HIP44001","8 57 35.2 ","15 34 52 ","5.68","F0IV","49.2",""
"HIP44072","8 58 38.9 ","20 32 45 ","9.22","M0","20.6",""
"HIP44075","8 58 44.2 ","-16 7 54 ","5.80","F7/F8IV/V","21.3",""
"HIP44127","8 59 11.7 ","48 2 27 ","3.12","A7IV","14.6",""
"HIP44248","9 0 37.6 ","41 46 54 ","3.96","F5V","16.4",""
"HIP44295","9 1 17.3 ","15 15 51 ","8.67","M0V:p...","18.3","05/07/2016"
"HIP44526","9 4 20.5 ","-15 54 51 ","8.77","K2V","28.0",""
"HIP44722","9 6 45.0 ","-8 48 21 ","9.50","M0","14.5","05/07/2016"
"HIP44897","9 8 50.8 ","33 52 54 ","5.95","F9V","19.1","05/13/2016"
"HIP44901","9 8 52.0 ","51 36 16 ","4.46","Am","29.3",""
"HIP44920","9 9 2.98 ","27 25 54 ","10.2","K6","31.1",""
"HIP44955","9 9 30.1 ","32 48 59 ","9.96","M2","21.1",""
"HIP44984","9 9 46.3 ","11 33 50 ","6.48","F2p","37.6","05/08/2016"
"HIP45038","9 10 23.5 ","67 8 1 ","4.80","F7IV-V","20.4",""
"HIP45075","9 10 55.2 ","63 30 48 ","4.67","Am","37.3",""
"HIP45170","9 12 16.9 ","14 59 49 ","6.49","G9V","20.4","05/08/2016"
"HIP45343","9 14 20.0 ","52 41 2 ","7.64","M0V","6.18",""
"HIP120005","9 14 21.9 ","52 41 0 ","7.70","K2","6.27",""
"HIP45336","9 14 21.9 ","2 18 46 ","3.89","B9.5V","39.4","05/08/2016"
"HIP45383","9 14 53.5 ","4 26 34 ","7.91","K0","18.4",""
"HIP45493","9 16 11.4 ","54 1 19 ","4.80","A5V","36.2",""
"HIP45593","9 17 25.2 ","77 14 40 ","10.1","K5","27.2",""
"HIP45617","9 17 53.5 ","28 33 29 ","7.20","K3V","17.5",""
"HIP45688","9 18 50.6 ","36 48 7 ","3.82","A1V","37.3",""
"HIP45737","9 19 28.1 ","0 53 47 ","8.15","K0","29.3",""
"HIP45836","9 20 43.6 ","51 16 0 ","6.14","F3V","29.0",""
"HIP45839","9 20 43.9 ","-5 45 16 ","9.10","K2","24.1",""
"HIP45859","9 21 2.94 ","51 18 23 ","7.82","G5","29.8",""
"HIP45963","9 22 25.4 ","40 11 58 ","7.69","K2V","24.2",""
"HIP46199","9 25 10.4 ","46 5 53 ","9.09","K0","25.7",""
"HIP46343","9 26 51.5 ","75 56 1 ","9.02","K2","20.0",""
"HIP46383","9 27 28.5 ","39 30 15 ","9.86","K8","32.2",""
"HIP46417","9 27 56.2 ","80 34 41 ","9.27","K8","22.9",""
"HIP46488","9 28 53.1 ","-7 22 27 ","12.1","M5","17.1",""
"HIP46493","9 28 57.2 ","38 3 57 ","10.4","K5","31.2",""
"HIP46509","9 29 9.00 ","-2 46 8 ","4.59","F6V","17.0","04/29/2016"
"HIP46549","9 29 34.5 ","-5 22 21 ","9.74","M0:","23.5","04/29/2016"
"HIP46566","9 29 47.4 ","55 44 42 ","6.50","F3Vs","44.3",""
"HIP46580","9 29 54.2 ","5 39 20 ","7.20","K3V","12.6",""
"HIP46706","9 31 20.2 ","-13 29 18 ","10.0","M2","10.5","04/29/2016"
"HIP46733","9 31 31.9 ","63 3 43 ","3.65","F0IV","23.1",""
"HIP46769","9 31 56.0 ","36 19 4 ","10.1","M0","13.5",""
"HIP46816","9 32 25.2 ","-11 11 4 ","7.82","K0","18.3","04/29/2016"
"HIP46843","9 32 43.5 ","26 59 14 ","7.05","K0","17.7","06/04/2016"
"HIP46853","9 32 49.7 ","51 40 29 ","3.17","F6IV","13.4",""
"HIP47007","9 34 50.7 ","-12 7 49 ","6.54","G0","27.4",""
"HIP47080","9 35 38.5 ","35 48 32 ","5.40","G8IV-V","11.1","06/04/2016"
"HIP47098","9 35 55.4 ","76 32 46 ","9.82","M0","32.3",""
"HIP47201","9 37 11.1 ","22 41 36 ","9.43","M0V:","21.9","06/04/2016"
"HIP47261","9 37 58.2 ","22 31 21 ","9.93","K8","31.5",""
"HIP47300","9 38 21.7 ","40 14 23 ","5.28","F0V","38.3",""
"HIP47513","9 41 9.62 ","13 12 32 ","10.3","M2","11.3","06/04/2016"
"HIP47619","9 42 35.1 ","-19 14 8 ","11.9","","16.2",""
"HIP47690","9 43 25.7 ","42 41 16 ","8.13","K5V","17.7","04/02/2016"
"HIP47701","9 43 33.2 ","29 58 26 ","5.64","A2IV","48.8","04/02/2016"
